code_system,code,display,classification,review_reason
SNOMED,38341003,"Hypertensive disorder, systemic arterial (disorder)",,
SNOMED,55822004,Hyperlipidemia (disorder),,
SNOMED,35489007,Depressive disorder (disorder),,
SNOMED,235595009,Gastroesophageal reflux disease (disorder),,
SNOMED,268565007,Adult health examination (procedure),,
SNOMED,44054006,Diabetes mellitus type 2 (disorder),,
SNOMED,59621000,Essential hypertension (disorder),,
SNOMED,414916001,Obesity (disorder),,
SNOMED,73211009,Diabetes mellitus (disorder),,
SNOMED,195967001,Asthma (disorder),,
SNOMED,53741008,Coronary arteriosclerosis (disorder),,
SNOMED,61582004,Allergic rhinitis (disorder),,
SNOMED,40930008,Hypothyroidism (disorder),,
SNOMED,410620009,Well child visit (procedure),,
SNOMED,54150009,Upper respiratory infection (disorder),,
SNOMED,13644009,Hypercholesterolemia (disorder),,
SNOMED,161891005,Backache (finding),,
SNOMED,21522001,Abdominal pain (finding),,
SNOMED,396275006,Osteoarthritis (disorder),,
SNOMED,279039007,Low back pain (finding),,
SNOMED,271737000,Anemia (disorder),,
SNOMED,48694002,Anxiety (finding),,
SNOMED,68566005,Urinary tract infectious disease (disorder),,
SNOMED,13645005,Chronic obstructive pulmonary disease (disorder),,
SNOMED,49436004,Atrial fibrillation (disorder),,
SNOMED,233604007,Pneumonia (disorder),,
SNOMED,29857009,Chest pain (finding),,
SNOMED,42343007,Congestive heart failure (disorder),,
SNOMED,25064002,Headache (finding),,
SNOMED,37796009,Migraine (disorder),,
SNOMED,77386006,Pregnancy (finding),,
SNOMED,1003721002,Pain of joint of knee (finding),,
SNOMED,1003722009,Pain of knee region (finding),,
SNOMED,64859006,Osteoporosis (disorder),,
SNOMED,68496003,Polyp of colon (disorder),,
SNOMED,65363002,Otitis media (disorder),,
SNOMED,36971009,Sinusitis (disorder),,
SNOMED,49727002,Cough (finding),,
SNOMED,73430006,Sleep apnea (disorder),,
SNOMED,254837009,Malignant neoplasm of breast (disorder),,
SNOMED,193462001,Insomnia (disorder),,
SNOMED,90560007,Gout (disorder),,
SNOMED,89765005,Tobacco dependence syndrome (disorder),,
SNOMED,399068003,Malignant neoplasm of prostate (disorder),,
SNOMED,14760008,Constipation (finding),,
SNOMED,15188001,Hearing loss (disorder),,
SNOMED,10509002,Acute bronchitis (disorder),,
SNOMED,95570007,Kidney stone (disorder),,
SNOMED,84229001,Fatigue (finding),,
SNOMED,78275009,Obstructive sleep apnea syndrome (disorder),,
SNOMED,48782003,Delivery normal (finding),,
SNOMED,860914002,Erectile dysfunction (disorder),,
SNOMED,10743008,Irritable bowel syndrome (disorder),,
SNOMED,33879002,Administration of vaccine to produce active immunity (procedure),,
SNOMED,83607001,Gynecologic examination (procedure),,
SNOMED,110483000,Tobacco user (finding),,
SNOMED,81680005,Neck pain (finding),,
SNOMED,230690007,Cerebrovascular accident (disorder),,
SNOMED,13791008,Asthenia (finding),,
SNOMED,45326000,Pain of shoulder region (finding),,
SNOMED,11381005,Acne (disorder),,
SNOMED,266569009,Benign prostatic hyperplasia (disorder),,
SNOMED,267036007,Dyspnea (finding),,
SNOMED,57406009,Carpal tunnel syndrome (disorder),,
SNOMED,32398004,Bronchitis (disorder),,
SNOMED,182764009,Anticoagulant therapy (procedure),,
SNOMED,398050005,Diverticular disease of colon (disorder),,
SNOMED,405737000,Pharyngitis (disorder),,
SNOMED,3723001,Arthritis (disorder),,
SNOMED,62315008,Diarrhea (finding),,
SNOMED,404640003,Dizziness (finding),,
SNOMED,15167005,Harmful pattern of use of alcohol (disorder),,
SNOMED,370992007,Dyslipidemia (disorder),,
SNOMED,52448006,Dementia (disorder),,
SNOMED,43116000,Eczema (disorder),,
SNOMED,254902007,Benign prostatic hyperplasia without outflow obstruction (disorder),,
SNOMED,271594007,Syncope (finding),,
SNOMED,15805002,Acute sinusitis (disorder),,
SNOMED,87522002,Iron deficiency anemia (disorder),,
SNOMED,21719001,Allergic rhinitis caused by pollen (disorder),,
SNOMED,236886002,Hysterectomy (procedure),,
SNOMED,4556007,Gastritis (disorder),,
SNOMED,193570009,Cataract (disorder),,
SNOMED,90688005,Chronic renal failure syndrome (disorder),,
